X,date,unemployment,temperature,facebook_newsfeed_spend,facebook_newsfeed_impressions,youtube_brand_spend,youtube_brand_impressions,search_spend,search_clicks,youtube_performance_spend,youtube_performance_impressions,newspaper_spend,newspaper_readership,tv_spend,tv_gross_rating_points,data_week,inflation_rate,retail_trade,gdp,income,month,quarter,week,sales
1,7/1/19,3.7,66.23203199,10955.74657,11352112,24992.27525,14428173,21080.51465,9380,29223.10188,6838661,12178.57257,747190,21990.20736,1370779,2019_27,1.69,453667,21531.839,14871.8,2019.5,2019.5,27,1101354.886
2,7/2/19,3.7,67.87694623,10837.91813,11784249,27312.72509,12907289,19896.00107,8803,27183.06947,6680114,12076.1543,840911,18402.6368,1127588,2019_27,1.65,453667,21531.839,14871.8,2019.5,2019.5,27,1084979.778
3,7/3/19,3.7,74.54216927,11198.04499,10989205,25219.41268,11895368,24844.98278,11619,24559.17209,6010005,11851.026,1141541,21716.0026,1095842,2019_27,1.65,453667,21531.839,14871.8,2019.5,2019.5,27,1088240.596
4,7/4/19,3.7,66.68590574,10832.99767,11956619,25182.95761,11617086,26477.71989,12617,26708.2309,6442621,11849.61347,1015797,18683.23781,1247539,2019_27,1.65,453667,21531.839,14871.8,2019.5,2019.5,27,1083313.955
5,7/5/19,3.7,53.42735332,10012.57963,8949200,25784.00721,12394510,21660.48024,9334,24525.5894,6011511,12349.15927,850827,15713.6951,1351751,2019_27,1.69,453667,21531.839,14871.8,2019.5,2019.5,27,1075850.403
6,7/6/19,3.7,56.88059927,11336.32883,11854052,22907.44883,10690771,26932.0788,12914,25746.02682,6333575,11902.95465,1278246,19374.34517,1041130,2019_27,1.69,453667,21531.839,14871.8,2019.5,2019.5,27,1072044.295
7,7/7/19,3.7,47.95868779,11540.7345,12319159,25779.97447,11578744,23750.51927,11408,31713.44471,8004013,11960.6591,918094,20312.4389,1096396,2019_27,1.69,453667,21531.839,14871.8,2019.5,2019.5,27,1102032.765
8,7/8/19,3.7,47.46800968,11489.07992,10770222,25794.56121,13393099,20400.86611,9370,26401.6398,6373164,12107.62508,1882464,23506.10456,1495044,2019_28,1.7,453667,21531.839,14871.8,2019.5,2019.5,28,1105857.711
9,7/9/19,3.7,61.07130735,11607.93665,10685785,26610.82511,14112955,26595.40323,10710,23442.24206,5720689,12071.86305,1077652,18797.64777,1074347,2019_28,1.71,453667,21531.839,14871.8,2019.5,2019.5,28,1087926.488
10,7/10/19,3.7,52.35186759,11113.10338,9762270,22211.5334,9596601,21323.13891,9553,28272.0472,6983166,11805.67588,959322,18619.77064,1096870,2019_28,1.74,453667,21531.839,14871.8,2019.5,2019.5,28,1067222.466
11,7/11/19,3.7,54.1293815,10379.41071,8802984,28876.96128,12335671,20293.00253,9138,29847.69374,7396029,12297.7001,957226,19125.87252,1088633,2019_28,1.77,453667,21531.839,14871.8,2019.5,2019.5,28,1075778.667
12,7/12/19,3.7,68.37724862,10811.48072,10924145,21576.37405,11266237,22441.93372,9223,28741.26218,6958704,11805.56151,1076239,21680.83421,1773799,2019_28,1.77,453667,21531.839,14871.8,2019.5,2019.5,28,1078538.693
13,7/13/19,3.7,52.74890164,11233.94679,11150110,25133.43318,11980637,21497.15921,9274,25154.16225,6073336,12448.35345,934310,21158.33052,1427443,2019_28,1.77,453667,21531.839,14871.8,2019.5,2019.5,28,1059966.356
