sales,unemployment,temperature,facebook_newsfeed_spend,youtube_brand_spend,search_spend,youtube_performance_spend,newspaper_spend,tv_spend,Inflation_rate,Retail_trade,GDP,Income
1101354.886,3.7,66.23203199,10955.74657,24992.27525,21080.51465,29223.10188,12178.57257,21990.20736,1.69,453667,21531.839,14871.8
1084979.778,3.7,67.87694623,10837.91813,27312.72509,19896.00107,27183.06947,12076.1543,18402.6368,1.65,453667,21531.839,14871.8
1088240.596,3.7,74.54216927,11198.04499,25219.41268,24844.98278,24559.17209,11851.026,21716.0026,1.65,453667,21531.839,14871.8
1083313.955,3.7,66.68590574,10832.99767,25182.95761,26477.71989,26708.2309,11849.61347,18683.23781,1.65,453667,21531.839,14871.8
1075850.403,3.7,53.42735332,10012.57963,25784.00721,21660.48024,24525.5894,12349.15927,15713.6951,1.69,453667,21531.839,14871.8
1072044.295,3.7,56.88059927,11336.32883,22907.44883,26932.0788,25746.02682,11902.95465,19374.34517,1.69,453667,21531.839,14871.8
1102032.765,3.7,47.95868779,11540.7345,25779.97447,23750.51927,31713.44471,11960.6591,20312.4389,1.69,453667,21531.839,14871.8
1105857.711,3.7,47.46800968,11489.07992,25794.56121,20400.86611,26401.6398,12107.62508,23506.10456,1.7,453667,21531.839,14871.8
1087926.488,3.7,61.07130735,11607.93665,26610.82511,26595.40323,23442.24206,12071.86305,18797.64777,1.71,453667,21531.839,14871.8
1067222.466,3.7,52.35186759,11113.10338,22211.5334,21323.13891,28272.0472,11805.67588,18619.77064,1.74,453667,21531.839,14871.8
1075778.667,3.7,54.1293815,10379.41071,28876.96128,20293.00253,29847.69374,12297.7001,19125.87252,1.77,453667,21531.839,14871.8
1078538.693,3.7,68.37724862,10811.48072,21576.37405,22441.93372,28741.26218,11805.56151,21680.83421,1.77,453667,21531.839,14871.8
1059966.356,3.7,52.74890164,11233.94679,25133.43318,21497.15921,25154.16225,12448.35345,21158.33052,1.77,453667,21531.839,14871.8
1064890.189,3.7,48.47226488,10592.30774,23366.56987,20712.65582,25263.57644,11943.19348,19851.69515,1.77,453667,21531.839,14871.8
1070256.565,3.7,61.6161902,10972.57533,25640.39354,21819.05035,0,12128.0358,20201.86819,1.77,453667,21531.839,14871.8
1064063.555,3.7,42.92238829,10743.01387,27021.4095,21793.33936,0,12007.06611,21124.37218,1.8,453667,21531.839,14871.8
1075428.027,3.7,62.35227019,11310.22168,20673.79541,24678.07915,0,12124.32162,19715.76631,1.75,453667,21531.839,14871.8
1092116.792,3.7,65.93079152,11020.386,23699.40191,22455.79069,0,12537.7215,19902.16085,1.79,453667,21531.839,14871.8
1044753.023,3.7,58.71699744,10968.20353,20724.26802,22782.76574,0,12198.02953,22028.31252,1.8,453667,21531.839,14871.8
1067367.307,3.7,53.98574323,11687.14372,25793.36149,20864.90134,0,12344.40214,19723.56409,1.8,453667,21531.839,14871.8
1106115.854,3.7,66.95071435,11195.93173,25841.65978,21331.37145,0,12892.0252,19477.01292,1.8,453667,21531.839,14871.8
1077916.786,3.7,55.87286665,10815.27666,26854.55227,24316.16643,0,12207.85,19677.92328,1.79,453667,21531.839,14871.8
1080068.554,3.7,70.13262499,11063.98122,24201.44342,25322.14364,0,11251.2102,21199.30286,1.81,453667,21531.839,14871.8
1090725.535,3.7,52.73175359,11412.25322,28677.11958,23354.83254,0,11615.49707,17136.79288,1.79,453667,21531.839,14871.8
1072372.011,3.7,73.1162559,11452.01309,27461.7049,21493.40936,0,11819.0174,21392.91736,1.8,453667,21531.839,14871.8
1097755.741,3.7,65.73210616,11178.45594,25719.27724,22486.45085,0,11860.24118,20964.83081,1.78,453667,21531.839,14871.8
1072705.291,3.7,76.51065555,11049.42022,25127.4438,25644.58288,0,12658.80262,21247.54759,1.78,453667,21531.839,14871.8
1089039.947,3.7,75.61234821,11407.13558,24725.23212,22346.30499,0,11650.06298,19752.78294,1.78,453667,21531.839,14871.8
1069138.354,3.7,80.78953716,11015.94837,24428.09981,21185.61837,25384.77341,0,21165.96282,1.77,453667,21531.839,14871.8
1052600.986,3.7,64.42727242,11343.32308,27505.43345,21720.71634,26696.09893,0,21548.21734,1.78,453667,21531.839,14871.8
1087210.089,3.7,70.14440912,11322.58936,26340.4104,21158.02055,25190.6841,0,19252.4886,1.76,453667,21531.839,14871.8
1069140.534,3.7,66.23298223,10729.21455,23451.54553,22341.90381,24691.1196,0,18305.48847,1.7,455967,21531.839,14960.3
1068460.802,3.7,68.70940066,10450.90693,22713.78951,25866.62702,32061.05913,0,23123.99078,1.66,455967,21531.839,14960.3
1081142.047,3.7,84.39880804,11269.46362,22717.42808,21583.21187,32273.15658,0,18983.86286,1.66,455967,21531.839,14960.3
1077842.278,3.7,63.92059914,11387.76008,22426.60452,24043.11977,29424.53422,0,17169.15162,1.66,455967,21531.839,14960.3
1079798.502,3.7,72.6055131,10842.75048,17593.52831,21381.89795,25551.53501,0,19513.08811,1.6,455967,21531.839,14960.3
1065040.473,3.7,73.07407185,10920.13387,24532.01501,21509.56231,34772.00455,0,20756.59549,1.62,455967,21531.839,14960.3
1059838.484,3.7,74.14567522,11178.7107,23644.9688,20460.21973,33491.53804,0,14642.99116,1.62,455967,21531.839,14960.3
1071331.741,3.7,66.95597416,11274.04033,23975.48996,20616.80884,29527.20153,0,20012.12831,1.65,455967,21531.839,14960.3
