"","date","sales","unemployment","temperature","facebook_newsfeed_spend","facebook_newsfeed_impressions","youtube_brand_spend","youtube_brand_impressions","search_spend","search_clicks","youtube_performance_spend","youtube_performance_impressions","newspaper_spend","newspaper_readership","tv_spend","tv_gross_rating_points"
"1",2019-07-01,1101354.88592711,3.7,66.2320319898121,10955.7465676005,11352112,24992.2752533254,14428173,21080.5146511379,9380,29223.1018826525,6838661,12178.5725698653,747190,21990.2073596786,1370779
"2",2019-07-02,1084979.77775682,3.7,67.8769462268245,10837.9181253349,11784249,27312.7250915588,12907289,19896.0010680782,8803,27183.0694699732,6680114,12076.1542971062,840911,18402.6367990824,1127588
"3",2019-07-03,1088240.5955463,3.7,74.5421692726096,11198.044985908,10989205,25219.4126779501,11895368,24844.9827841425,11619,24559.1720864051,6010005,11851.02599664,1141541,21716.0026012537,1095842
"4",2019-07-04,1083313.9553918,3.7,66.6859057394126,10832.997669947,11956619,25182.9576113419,11617086,26477.7198851931,12617,26708.2309046989,6442621,11849.6134692614,1015797,18683.237807768,1247539
"5",2019-07-05,1075850.4034268,3.7,53.4273533235362,10012.5796308063,8949200,25784.0072052277,12394510,21660.4802383537,9334,24525.5894014411,6011511,12349.1592669359,850827,15713.6950957894,1351751
"6",2019-07-06,1072044.2952328,3.7,56.8805992706371,11336.3288313113,11854052,22907.4488339201,10690771,26932.0787964908,12914,25746.0268192954,6333575,11902.9546453852,1278246,19374.3451720701,1041130
"7",2019-07-07,1102032.76477795,3.7,47.9586877874582,11540.7345001091,12319159,25779.9744702212,11578744,23750.519270773,11408,31713.4447145101,8004013,11960.6590994954,918094,20312.4389030436,1096396
"8",2019-07-08,1105857.71100038,3.7,47.4680096751218,11489.0799154632,10770222,25794.5612135126,13393099,20400.8661079088,9370,26401.6397963032,6373164,12107.6250798685,1882464,23506.1045572842,1495044
"9",2019-07-09,1087926.48768725,3.7,61.0713073534096,11607.9366459592,10685785,26610.8251145336,14112955,26595.4032314872,10710,23442.2420598374,5720689,12071.8630545603,1077652,18797.6477674343,1074347
"10",2019-07-10,1067222.46567068,3.7,52.3518675941097,11113.1033766647,9762270,22211.5334040781,9596601,21323.1389070024,9553,28272.0471952771,6983166,11805.6758794219,959322,18619.7706404393,1096870
"11",2019-07-11,1075778.66731823,3.7,54.1293815038697,10379.4107069604,8802984,28876.9612771674,12335671,20293.0025298395,9138,29847.6937412842,7396029,12297.7000969007,957226,19125.8725165803,1088633
"12",2019-07-12,1078538.69345454,3.7,68.3772486228503,10811.4807198388,10924145,21576.37405473,11266237,22441.933723371,9223,28741.2621807195,6958704,11805.5615145933,1076239,21680.8342057095,1773799
"13",2019-07-13,1059966.35647651,3.7,52.748901635868,11233.9467873684,11150110,25133.4331798772,11980637,21497.1592057901,9274,25154.1622500445,6073336,12448.3534456867,934310,21158.3305164588,1427443
"14",2019-07-14,1064890.18892039,3.7,48.4722648758759,10592.3077444963,9729761,23366.5698682096,10795360,20712.6558152814,9335,25263.5764350358,6253591,11943.1934762304,1003397,19851.6951518016,1522249
"15",2019-07-15,1070256.56483674,3.7,61.616190204752,10972.5753340636,10610154,25640.393536208,13577139,21819.0503469005,9230,0,0,12128.0358002764,1059799,20201.8681867159,1273262
"16",2019-07-16,1064063.55483012,3.7,42.9223882897071,10743.0138698925,9120286,27021.4095043678,12898636,21793.339359328,10212,0,0,12007.0661105515,929041,21124.3721781876,1477223
"17",2019-07-17,1075428.02719773,3.7,62.3522701903538,11310.2216827299,10489616,20673.7954092676,9263412,24678.0791536945,11043,0,0,12124.3216160643,1011502,19715.766313985,1382213
"18",2019-07-18,1092116.79238356,3.7,65.9307915158341,11020.3859961475,9252827,23699.4019053639,11157220,22455.7906940448,10048,0,0,12537.7214960202,994517,19902.160849696,1112670
"19",2019-07-19,1044753.02309526,3.7,58.7169974396418,10968.2035313007,9942029,20724.2680219448,8969474,22782.7657373755,9995,0,0,12198.0295253503,832045,22028.3125208374,1336432
"20",2019-07-20,1067367.30684259,3.7,53.9857432264935,11687.1437171869,9098161,25793.3614878298,12425004,20864.9013410311,9749,0,0,12344.4021374383,1032382,19723.5640885743,1472739
"21",2019-07-21,1106115.8543503,3.7,66.9507143477531,11195.931732963,8796525,25841.6597754648,12600197,21331.3714467996,9356,0,0,12892.0251977318,1276199,19477.0129240131,1642159
"22",2019-07-22,1077916.78610748,3.7,55.872866647646,10815.2766565772,9901274,26854.5522675419,13854139,24316.1664314343,10422,0,0,12207.8500047993,1010797,19677.9232772544,1063931
"23",2019-07-23,1080068.5538272,3.7,70.1326249909804,11063.9812165898,10159607,24201.4434235685,11307026,25322.1436389623,11709,0,0,11251.2102001722,816714,21199.3028583182,1282492
"24",2019-07-24,1090725.5351892,3.7,52.7317535869712,11412.2532213396,10073735,28677.1195836343,12789901,23354.8325416592,10605,0,0,11615.497069148,767039,17136.7928806403,871709
"25",2019-07-25,1072372.01131778,3.7,73.1162558955101,11452.0130906068,12089466,27461.7048958933,13354570,21493.4093574704,10064,0,0,11819.017399927,1053802,21392.9173613351,1234130
"26",2019-07-26,1097755.74135276,3.7,65.7321061562044,11178.4559372849,9522367,25719.277238654,13314951,22486.4508533377,9413,0,0,11860.2411846454,1242343,20964.8308114571,1250929
"27",2019-07-27,1072705.29090869,3.7,76.5106555494362,11049.4202167702,9992278,25127.4438018596,13078015,25644.5828810079,12112,0,0,12658.8026206915,920068,21247.5475908385,1116713
"28",2019-07-28,1089039.94672503,3.7,75.6123482111505,11407.1355755665,10465447,24725.2321228018,11796382,22346.3049876158,9717,0,0,11650.0629783424,865774,19752.7829388968,1302535
"29",2019-07-29,1069138.35428465,3.7,80.7895371597516,11015.9483707924,9164425,24428.0998059362,11954258,21185.6183666801,9539,25384.7734074069,6400368,0,0,21165.9628154377,1383974
"30",2019-07-30,1052600.98550555,3.7,64.4272724246881,11343.3230803958,11698317,27505.4334471657,10990532,21720.7163361516,9382,26696.0989284901,6375838,0,0,21548.2173386162,1304993
"31",2019-07-31,1087210.0894389,3.7,70.1444091161091,11322.589359161,10204557,26340.4103997065,13149923,21158.020550181,9179,25190.6840954345,6050946,0,0,19252.4886001707,1256459
"32",2019-08-01,1069140.53406786,3.7,66.2329822272056,10729.2145519233,8827697,23451.5455274997,10977756,22341.9038128263,10366,24691.1195996594,6061184,0,0,18305.488465469,1330387
"33",2019-08-02,1068460.80161269,3.7,68.7094006565307,10450.9069308947,9039059,22713.7895119613,11405212,25866.6270166757,11359,32061.0591325101,7990743,0,0,23123.9907774268,1391711
"34",2019-08-03,1081142.04744938,3.7,84.3988080363609,11269.4636192299,10905930,22717.4280796081,10627248,21583.2118664996,10053,32273.1565819713,7956547,0,0,18983.8628638596,1218673
"35",2019-08-04,1077842.27800236,3.7,63.9205991449331,11387.7600829663,9293025,22426.6045167139,10742192,24043.1197733444,10559,29424.5342238557,7269938,0,0,17169.1516164348,771445
"36",2019-08-05,1079798.50244879,3.7,72.6055130994746,10842.7504828299,10756083,17593.5283140386,8318809,21381.8979542883,10024,25551.5350107024,6114165,0,0,19513.0881139077,1409986
"37",2019-08-06,1065040.47325014,3.7,73.0740718490899,10920.1338716916,8000443,24532.015014911,12052149,21509.562308812,9757,34772.0045450851,8501801,0,0,20756.595485612,1288094
